time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
3062431,1.184000,34536,16182,5723,56,1401,210,8155,73703,35459,13893,172,3593,607,27618,22554,10594,3524,28,710,92,2108,363125,213300,88331,1720,35959,3354,177432
3164455,1.196000,132306,62083,25816,535,6370,1290,56961,110672,54657,21491,280,6032,1001,46096,22765,10569,3524,28,710,91,2327,402941,234319,97306,1896,38856,3730,197318
3266483,1.200000,32847,14562,5297,60,1287,181,7104,73799,35505,13912,176,3597,624,27701,22412,10589,3525,28,710,91,2074,362550,213034,88107,1669,36081,3425,177102
3368513,1.200000,77809,34969,14068,320,3454,683,29740,76810,36967,14256,186,3813,648,29137,22580,10610,3526,28,711,90,2154,389856,223887,92015,1924,37602,3844,190799
3470608,1.200000,2170367,1556300,615916,4810,205644,20956,1076010,78933,37923,14625,200,3929,690,30262,22795,10601,3525,28,710,90,2297,402577,220402,90898,1770,37986,3495,197052
3572660,1.200000,91636,36914,14534,454,3615,1025,36457,78087,35527,13905,167,3595,626,29762,22538,10570,3524,28,711,90,2157,371864,212558,87465,1772,36510,3384,181712
3674694,1.196000,32481,15293,5327,61,1313,183,7083,77496,37004,14275,167,3811,639,29465,22318,10590,3523,28,710,91,2067,389483,225562,93515,1837,37204,3755,190509
3776714,1.200000,147887,61998,24883,738,6508,1706,64842,74140,35508,13903,161,3593,598,27716,22604,10588,3524,28,711,89,2180,362339,210600,87156,1774,35401,3358,176927
3878826,1.204000,3574806,2581407,1091435,6487,333066,31055,1778146,124181,57712,22968,326,6195,1038,52919,23189,9877,3475,28,692,86,2272,457620,236838,97187,2015,40349,4018,224657
3980891,1.184000,633248,328586,124661,446,42532,5256,307122,84444,40640,15898,285,4232,726,32985,22899,10565,3524,28,710,93,2359,373255,215567,88828,1825,36802,3471,182432
4082929,1.200000,35437,16194,5723,77,1409,232,8436,73900,35524,13906,204,3594,615,27717,22417,10558,3524,28,710,89,2089,368300,215237,89299,1771,36097,3484,180033
4184960,1.200000,103285,48278,19695,481,4865,1088,42465,76973,36943,14258,204,3811,635,29274,22703,10561,3524,28,710,93,2265,385051,222311,91685,1828,37505,3674,188384
4286986,1.200000,71578,30890,12155,271,2970,642,26613,73051,34949,13856,177,3504,578,27270,22454,10630,3524,29,711,89,2167,361820,212139,87678,1732,35834,3396,176715
4389053,1.196000,80443,37028,14508,304,3672,781,31093,110611,53526,21541,263,5699,978,46045,22640,10574,3524,28,710,93,2227,434039,244734,102042,2175,39429,4340,212869
4491082,1.200000,37367,17404,6145,83,1594,243,9619,135150,60759,24645,411,6490,1306,58337,22483,10562,3524,28,710,91,2155,360912,209981,86980,1755,35404,3370,176266
4593111,1.196000,81974,38594,15624,340,3848,795,31803,75201,35540,13899,240,3604,659,28311,22434,10557,3525,28,710,90,2144,356161,206368,85224,1705,35135,3322,173915
4695144,1.200000,32676,15358,5358,68,1330,181,7195,81226,39275,15208,234,4069,740,31329,22390,10593,3524,28,710,89,2088,385096,224283,93073,1793,37407,3715,188379
4797191,1.200000,190839,80854,33114,934,8421,2042,86287,74322,35472,13899,186,3595,602,27916,22631,10574,3524,28,711,90,2229,381876,218459,89699,1824,37013,3785,186841
4899253,1.184000,39861,18501,6573,88,1717,279,10578,118363,58094,23035,302,6251,1070,49920,22989,10593,3522,35,683,86,1998,404630,232856,96727,1928,37994,4071,198194
