time,cpu_percent,virtual_memory,adc_voltage
2023-04-11 16:29:37.773772,25.5,25.3,0.12700387585070344
2023-04-11 16:29:37.789659,14.3,25.3,0.1016281014435255
2023-04-11 16:29:37.805657,0.0,25.3,0.10950334177678762
2023-04-11 16:29:37.821604,14.3,25.3,0.1016281014435255
2023-04-11 16:29:37.837489,0.0,25.3,0.10050306711020235
2023-04-11 16:29:37.853508,14.3,25.3,0.09937803277687918
2023-04-11 16:29:37.869485,14.3,25.3,0.10137809381389813
2023-04-11 16:29:37.885429,0.0,25.3,0.10450318918424023
2023-04-11 16:29:37.901379,0.0,25.3,0.10150309762871182
2023-04-11 16:29:37.917282,0.0,25.3,0.10150309762871182
2023-04-11 16:29:37.933255,14.3,25.3,0.10200311288796655
2023-04-11 16:29:37.949253,0.0,25.3,0.10187810907315288
2023-04-11 16:29:37.965191,0.0,25.3,0.11112839136936552
2023-04-11 16:29:37.981130,0.0,25.3,0.10150309762871182
2023-04-11 16:29:37.997052,0.0,25.3,0.10200311288796655
2023-04-11 16:29:38.013092,14.3,25.3,0.10100308236945708
2023-04-11 16:29:38.029012,0.0,25.3,0.1016281014435255
2023-04-11 16:29:38.044971,0.0,25.3,0.10962834559160131
2023-04-11 16:29:38.060928,0.0,25.3,0.10137809381389813
2023-04-11 16:29:38.076860,0.0,25.3,0.10200311288796655
2023-04-11 16:29:38.092886,14.3,25.3,0.10187810907315288
2023-04-11 16:29:38.108849,0.0,25.3,0.1017531052583392
2023-04-11 16:29:38.124752,0.0,25.3,0.1017531052583392
2023-04-11 16:29:38.140674,0.0,25.3,0.10150309762871182
2023-04-11 16:29:38.156636,0.0,25.3,0.10237812433240762
2023-04-11 16:29:38.172620,14.3,25.3,0.1016281014435255
2023-04-11 16:29:38.188573,0.0,25.3,0.1017531052583392
2023-04-11 16:29:38.204493,0.0,25.3,0.09975304422132024
2023-04-11 16:29:38.220522,12.5,25.3,0.09950303659169286
2023-04-11 16:29:38.236433,0.0,25.3,0.1016281014435255
2023-04-11 16:29:38.252343,0.0,25.3,0.09987804803613393
2023-04-11 16:29:38.268348,14.3,25.3,0.1017531052583392
2023-04-11 16:29:38.284319,0.0,25.3,0.10125308999908444
2023-04-11 16:29:38.300222,0.0,25.3,0.1017531052583392
2023-04-11 16:29:38.316161,0.0,25.3,0.1016281014435255
2023-04-11 16:29:38.332086,0.0,25.3,0.10275313577684866
2023-04-11 16:29:38.348044,14.3,25.3,0.1016281014435255
2023-04-11 16:29:38.364009,0.0,25.3,0.10137809381389813
2023-04-11 16:29:38.379938,0.0,25.3,0.10125308999908444
