time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
3063299,1.204000,51504,23792,8950,157,2253,433,16744,87849,43112,17073,351,4263,829,34747,22885,10601,3522,28,706,90,2271,385348,220882,91346,1807,37100,3718,188543
3165397,1.200000,291846,122170,49432,922,13920,2756,136778,208228,86391,34510,860,9295,1989,94845,671622,260956,107711,4340,33793,8391,326654,529670,279789,114697,2356,46187,5306,260598
3267528,1.400000,39815,17684,6513,83,1679,270,10532,89760,39412,15483,527,3857,867,35213,23678,10641,3520,31,702,98,2351,429362,243616,100936,2057,39843,4321,210516
3369570,1.200000,70484,30862,11854,246,2986,646,26160,23314,10616,3525,43,711,92,2320,22684,10579,3523,28,706,97,2126,391529,222309,91918,1926,36592,3972,191554
3471608,1.204000,32425,15261,5329,61,1305,174,7097,73577,34789,13648,394,3323,655,27606,53382,25184,9485,181,2367,568,17540,396080,226988,93405,1808,38035,3939,193832
3573641,1.324000,31942,15245,5327,52,1305,178,6910,45193,21234,7953,187,1854,370,13271,22948,10591,3523,27,706,91,2220,387653,223024,91727,1775,37724,3770,189679
3675675,1.332000,31764,14559,5286,54,1278,169,6758,59215,27027,10134,213,2595,508,20271,22578,9877,3477,27,684,89,2033,390293,224108,92683,1814,36996,3879,190918
3777772,1.204000,32496,15392,5360,55,1321,173,7167,46138,20866,7956,179,1925,364,13852,22721,10614,3524,27,707,94,2225,414413,235252,97285,1922,38336,4228,203036
3879797,1.208000,31762,14663,5317,50,1298,166,6747,22879,10590,3523,46,710,94,2175,22351,10584,3522,27,707,93,2078,388545,221860,91685,1786,36676,3857,190112
3981824,1.376000,34590,16273,5752,59,1418,202,8205,61933,28867,10904,202,2744,536,21729,51758,25540,9569,142,2600,507,16730,417354,236013,97543,1987,38410,4361,204498
4083860,1.288000,50389,23569,8844,127,2244,408,16186,45306,21389,7905,169,1916,359,13331,22859,10633,3523,28,706,92,2208,387177,221590,91464,1787,36980,3843,189324
4185963,1.252000,147056,68734,27867,711,6974,1454,64380,106883,50709,20547,448,5022,1187,44138,23038,10632,3519,27,706,90,2373,401698,224675,92931,1925,37435,3974,196633
4288021,1.228000,33628,14656,5312,64,1295,177,7439,46206,21562,7934,176,1935,385,13698,22472,10598,3519,27,702,89,2090,421543,240796,99969,1885,39140,4213,206617
4390051,1.412000,67853,30282,11825,260,2901,602,24866,61623,28604,11005,226,2622,518,21550,22684,10615,3525,27,706,90,2175,434250,249130,103095,1933,40849,4334,212991
4492080,1.204000,32411,15389,5358,54,1322,172,7155,23036,10588,3523,51,706,90,2255,48428,23958,8958,112,2238,444,15007,384026,219465,90830,1744,36321,3735,187799
4594117,1.224000,100183,43195,16961,351,4489,1019,41008,82042,39518,15449,303,3846,805,31822,23142,10644,3523,27,706,91,2330,382163,217381,89573,1811,36604,3717,186935
4696217,1.268000,32768,15380,5360,58,1329,171,7217,58152,27502,10366,188,2662,518,19802,22488,10589,3523,27,706,92,2119,422690,239378,99364,2072,38749,4318,207107
