time,current,cycles_0,insns_0,cycles_1,insns_1,cycles_2,insns_2,cycles_3,insns_3
7611994,4.764000,100920335,39189651,100925352,39274522,100924744,39798293,100920350,38666244
7713358,4.452000,100886100,36763989,100896454,37245949,100895061,36906604,100892206,35380795
7814742,4.724000,100903394,36566861,100911446,36377177,100917077,38362729,100911995,38557725
7916109,4.644000,100894851,39261814,100901986,39291429,100900485,39787036,100898959,38544789
8017521,4.460000,100885410,36816923,100887518,36975494,100891966,36172593,100883086,35434557
8118878,4.736000,100878110,36665174,100887180,36753347,100890517,39336849,100886473,38880266
8220242,4.692000,100881843,39161584,100889536,39229941,100890416,38798660,100887020,38213026
8321602,4.460000,100887146,36911565,100891987,36588946,100891359,36741108,100890470,35457908
8422974,4.724000,100897716,36522878,100905690,37078694,100905165,39592773,100901635,39089990
8524332,4.576000,100886602,39065533,100895686,39099318,100892715,37895656,100889111,37911552
8625698,4.520000,100895508,37081923,100902948,36385657,100901618,37700087,100896164,35471532
8727072,4.648000,100907946,36391958,100914686,37345670,100910462,39594454,100906422,39339123
8828430,4.576000,100879395,39073762,100884368,39167571,100885807,36934488,100883552,37720985
8929805,4.604000,100897015,37200263,100905450,36164116,100902883,38647723,100900354,35999258
9031093,1.380000,64865126,25352622,63345896,24844768,69156838,26998084,61185189,23491428
9132271,1.276000,373028,202696,68666,21560,245300,104459,153535,72873
9233410,1.276000,303653,169898,7290,1783,85155,38404,60278,27407
9334538,1.264000,299864,168721,79637,37637,8048,1793,65563,30437
9435665,1.272000,305925,172198,7464,1792,6638,1842,63677,30495
9536804,1.272000,331362,181830,602902,215937,7268,1801,152533,74399
9637938,1.256000,350388,187333,31845,12045,31225,12349,93419,43104
9739265,1.268000,311619,173004,158096,56756,107478,35442,59092,26570
9840820,1.264000,334369,186084,7468,1805,7303,1839,57365,26613
9942380,1.212000,522875,257513,7034,1820,427751,230634,58249,26508
10043924,1.212000,353955,197598,104766,45395,7488,1879,92518,43344
10145469,1.212000,330672,184082,7085,1807,6703,1826,57419,26548
10247016,1.208000,362686,195482,165289,82391,73316,29772,126697,61473
10348561,1.216000,328678,182993,7214,1789,7278,1805,61732,28600
10450110,1.212000,326573,181520,46915,20151,6800,1803,58114,26515
10551657,1.196000,339028,190257,72808,33862,6867,1807,83116,39588
10653350,1.208000,376582,207340,46019,19682,6854,1842,88411,41910
10754893,1.204000,328381,181560,27107,10833,122188,53812,57343,25951
10856483,1.208000,532710,305396,48510,21843,7473,1873,119865,57701
10957993,1.204000,321876,179079,7192,1796,6971,1839,157246,70953
11059530,1.208000,338287,189434,76874,34575,6836,1818,77859,36861
11161071,1.208000,326934,181544,7101,1817,6577,1778,57661,26540
11262613,1.204000,323547,178044,70473,33168,29819,12605,57553,26486
11364165,1.208000,330409,184390,7179,1837,41423,16720,57719,26609
11465706,1.204000,327945,181461,53289,24688,6906,1850,57371,26565
11567250,1.208000,324386,180546,61537,28197,6858,1827,55929,26180
11668793,1.204000,347441,190457,53915,24855,6817,1776,57590,26614
11770333,1.204000,321740,178177,28257,11524,99522,46163,58096,26634
11871880,1.200000,324603,179908,53335,24959,7420,1856,61515,28545
11973426,1.184000,323267,180486,8580,1958,6748,1787,62188,28877
12074969,1.204000,318494,176204,108091,51992,6853,1787,57614,26539
12176541,1.200000,319081,178643,7149,1790,6720,1804,78362,37234
12278086,1.204000,334415,186289,70979,33401,29579,12245,75514,35349
12379634,1.200000,362829,196959,7291,1763,46442,19594,61556,28548
12481174,1.204000,321934,178321,53807,25260,7132,1815,57881,26530
12582714,1.204000,320384,179158,55764,25177,6671,1842,58562,26909
12684253,1.232000,337193,185075,53174,24982,6781,1798,56668,25957
12785792,1.204000,327134,181639,26861,10911,51123,23268,56650,25904
12887347,1.188000,337874,186757,65720,31078,71103,30640,76266,35382
12988867,1.200000,340785,184415,63022,28063,7266,1838,57119,25986
13090415,1.204000,333169,183000,41015,17314,6908,1801,120652,55677
13191950,1.196000,321098,178975,44025,19308,6854,1812,59079,26586
13293491,1.204000,327804,181100,27556,11493,56319,24953,57779,26483
13395034,1.204000,320889,178480,44566,19771,53055,24685,58081,26612
13496607,1.200000,343414,190663,32381,14110,7420,1833,78797,37502
13598154,1.204000,383744,213935,75056,34626,7240,1774,102524,49221
13699695,1.248000,327414,181907,6832,1806,6675,1791,57143,26528
13801236,1.200000,339983,189863,61812,28181,29747,12950,76205,36883
13902777,1.200000,341556,187651,6938,1799,73549,32568,57915,26499
14004321,1.196000,321485,178977,65212,30390,7174,1814,57498,26598
14105866,1.196000,328000,182685,48189,22352,6855,1785,57552,26567
14207443,1.240000,385627,214987,51268,22984,7001,1839,103319,49811
14308982,1.184000,324841,181040,27423,11364,29855,12827,55945,26173
14410524,1.200000,322533,178683,53204,24744,51242,23590,56889,26521
14512066,1.200000,347223,189859,26697,10814,7418,1848,61289,28617
14613604,1.200000,324855,180195,78929,37834,7077,1832,57909,26521
14715151,1.196000,344131,189839,7205,1847,6754,1842,58299,27027
14816699,1.200000,325784,180369,70951,33495,29894,13013,55738,26176
14918240,1.200000,333380,187169,7214,1772,78549,36061,57748,26594
15019783,1.196000,320081,178341,59233,27779,7200,1831,57713,26636
15121321,1.200000,322448,178003,49288,22347,6888,1781,120798,56650
15222861,1.188000,322008,178589,52446,24335,6829,1778,59331,26493
15324411,1.200000,320442,178883,27328,11402,30215,12969,59576,27500
15425951,1.200000,325614,180000,52771,25350,6969,1850,57933,26487
15527533,1.184000,343209,190947,27807,11489,42441,18295,79490,37657
15629076,1.200000,345647,189441,89735,44113,7005,1840,57275,26526
15730628,1.200000,329594,183816,6972,1788,6615,1758,60899,28555
15832161,1.232000,315152,174350,71805,34986,29826,13031,57671,26559
15933687,1.196000,363089,202366,7511,1842,73081,32479,74473,35364
16035245,1.200000,458672,270044,27367,11465,7149,1847,73916,34621
16136788,1.200000,328765,181809,84948,39820,6775,1775,57291,26532
16238302,1.236000,298467,166920,51764,23633,6667,1824,59035,27514
16339841,1.200000,316947,175409,42845,18567,75076,33959,57607,26495
16441381,1.188000,332541,183746,6920,1794,7239,1851,60787,28553
16542923,1.196000,358547,194077,64421,29246,53871,23926,58453,26558
16644531,1.196000,532962,258681,2056796,1498955,7536,1804,58206,26628
16746160,1.208000,530395,267142,2471016,1832137,7495,1784,115901,53725
