time,cpu_percent,virtual_memory,adc_voltage
2023-04-07 16:36:47.590068,100.0,26.8,0.010375316629535815
2023-04-07 16:36:47.697339,100.0,26.8,0.009875301370281076
2023-04-07 16:36:47.804695,100.0,26.8,0.010125308999908446
2023-04-07 16:36:47.911789,100.0,26.8,0.010500320444349499
2023-04-07 16:36:48.019142,100.0,26.8,0.010125308999908446
2023-04-07 16:36:48.126443,100.0,26.8,0.00975029755546739
2023-04-07 16:36:48.233710,100.0,26.7,0.009875301370281076
2023-04-07 16:36:48.340798,100.0,26.7,0.010500320444349499
2023-04-07 16:36:48.448295,100.0,26.7,0.009875301370281076
2023-04-07 16:36:48.555405,100.0,26.7,0.01000030518509476
2023-04-07 16:36:48.662519,100.0,26.7,0.01000030518509476
2023-04-07 16:36:48.769711,100.0,26.7,0.010375316629535815
2023-04-07 16:36:48.876977,100.0,26.7,0.010125308999908446
2023-04-07 16:36:48.984237,100.0,26.7,0.0072502212591937015
2023-04-07 16:36:49.091331,100.0,27.3,0.007625232703634755
2023-04-07 16:36:49.198760,100.0,27.4,0.008000244148075809
2023-04-07 16:36:49.306251,95.3,27.3,0.0031250953703421125
